LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,GarageCars,Neighborhood,SalePrice
17795,10,1979,1307,3334,2,3,2,Suburb_A,592323.0
2860,10,2002,2284,3576,1,2,0,Suburb_A,553571.0
7390,9,1962,1217,2876,1,2,0,Rural,330453.0
13964,1,1970,1310,3897,3,2,1,Uptown,573501.0
13284,5,1968,770,1195,1,1,3,Downtown,310187.0
8265,4,2002,757,1034,1,1,3,Suburb_A,220368.0
18850,8,1968,135,1481,3,3,0,Rural,247469.0
6426,1,2006,791,3668,5,2,3,Rural,347414.0
16423,9,1974,170,2381,5,1,2,Rural,295495.0
13363,6,1980,2206,1001,3,3,0,Downtown,418220.0
18023,4,2004,2248,3269,4,3,0,Suburb_B,492310.0
10322,9,1972,1580,2735,1,3,0,Uptown,551810.0
3685,5,1981,961,3231,1,3,1,Suburb_B,403326.0
2769,5,2011,875,2165,3,3,3,Uptown,443325.0
4433,5,2023,2418,908,3,2,1,Uptown,359673.0
7311,1,1959,102,3553,4,3,2,Rural,311883.0
7051,1,2021,1001,942,5,2,3,Suburb_A,208704.0
8420,8,2003,1148,1035,2,1,1,Rural,207330.0
19568,8,2001,1481,776,5,3,0,Downtown,385058.0
8396,6,1969,657,738,1,1,1,Uptown,210850.0
10666,4,1981,1220,793,3,2,0,Suburb_A,236795.0
4747,2,1963,422,3857,4,2,1,Uptown,532035.0
2189,2,1999,170,3889,5,1,1,Uptown,552773.0
5005,9,1977,2220,3835,4,3,1,Rural,461455.0
3899,5,2002,452,1784,5,3,0,Suburb_A,254229.0
3267,4,1973,2397,1542,1,1,1,Suburb_A,297397.0
19912,10,1971,1975,1124,2,1,3,Uptown,399102.0
13394,1,1979,1657,2224,4,1,3,Suburb_A,342291.0
5556,7,2012,2053,3713,4,3,3,Suburb_A,550478.0
5890,3,1953,287,3562,2,3,0,Rural,324741.0
10838,6,2008,1641,2857,4,3,0,Suburb_B,438305.0
16502,5,1957,1447,1340,4,1,3,Downtown,409944.0
12627,5,1961,1913,1461,5,3,3,Suburb_B,330243.0
10792,5,1980,607,3946,5,2,3,Suburb_A,517620.0
12555,1,1983,456,1553,2,1,2,Uptown,311261.0
12253,1,1998,1764,1902,1,3,3,Downtown,437159.0
10433,3,2006,1225,1874,4,1,1,Downtown,408957.0
12233,10,1975,1235,3981,1,2,2,Uptown,681956.0
13016,4,1967,1029,2343,2,2,2,Downtown,454202.0
4612,5,1987,2423,3480,2,1,0,Uptown,623800.0
17787,2,1999,446,2787,5,1,1,Downtown,500027.0
19159,8,1957,834,1391,4,2,0,Suburb_B,324392.0
14206,2,1990,810,1145,3,1,0,Downtown,291712.0
10226,9,1955,1424,2444,2,2,1,Rural,320521.0
16541,2,2018,1411,1616,4,2,0,Uptown,375243.0
5152,9,1993,958,2527,1,3,1,Downtown,531241.0
3585,7,2013,1475,2153,5,1,1,Uptown,469593.0
5943,8,1978,808,656,1,1,0,Rural,177092.0
3021,2,1977,978,2759,2,3,3,Downtown,479991.0
13653,7,1960,2463,604,2,2,0,Downtown,390301.0
12805,6,2014,725,2037,1,1,2,Rural,278977.0
15417,4,1968,1216,3853,2,3,0,Rural,396140.0
9989,7,1958,2197,3684,4,3,1,Rural,444876.0
11692,4,1976,1903,1962,2,1,2,Uptown,434437.0
14990,2,1983,778,2420,5,3,1,Rural,276130.0
8873,10,1993,972,1882,4,2,3,Uptown,485392.0
7675,7,2017,1538,2737,3,3,3,Suburb_B,448914.0
2161,8,1964,1416,3263,2,2,2,Downtown,610589.0
6297,2,2000,2123,3538,2,2,3,Downtown,630331.0
2995,5,1962,598,3345,5,1,3,Suburb_A,424787.0
13534,1,1998,224,1873,5,3,0,Suburb_B,267041.0
9629,7,2019,1553,3926,1,2,0,Rural,418852.0
3016,8,2005,2160,3545,1,2,3,Rural,425505.0
10529,6,2000,2298,3618,1,3,3,Suburb_B,553044.0
19262,5,1986,840,1731,5,2,0,Rural,280202.0
11268,6,1966,1814,1267,1,3,3,Suburb_A,314870.0
14185,2,2007,713,3241,1,1,3,Uptown,483909.0
8331,1,1978,1106,3236,3,2,1,Downtown,563163.0
10571,7,1982,124,3132,1,2,3,Suburb_B,387825.0
9208,7,2009,1092,3629,2,3,2,Downtown,650469.0
7276,10,2004,1279,3619,5,3,1,Uptown,692024.0
18448,10,1959,1750,1881,4,3,2,Suburb_B,427429.0
18216,2,1996,29,3286,3,3,3,Uptown,511188.0
10006,2,1972,2328,1596,5,2,0,Rural,248829.0
4568,1,1970,2017,2526,5,1,1,Rural,286057.0
4027,10,1962,2415,881,2,1,0,Rural,226753.0
4695,8,1982,494,3633,1,1,1,Uptown,563029.0
17422,8,1973,1609,3759,2,1,0,Uptown,665369.0
7258,1,1960,717,1827,1,3,1,Uptown,290666.0
8736,8,1966,1016,2663,1,2,1,Downtown,525107.0
2391,9,2017,1337,3822,5,2,2,Uptown,637311.0
15986,4,1996,605,1535,1,2,0,Rural,208467.0
14666,1,1974,374,853,3,3,2,Suburb_A,184462.0
7892,1,2022,1960,1811,3,2,2,Uptown,417770.0
5561,3,1970,1048,928,3,3,0,Suburb_A,215068.0
8184,5,1961,1357,3191,5,2,1,Rural,345570.0
10392,5,1986,115,3430,2,1,2,Uptown,512475.0
15067,9,1991,2095,3644,4,3,0,Downtown,769977.0
17265,10,1966,1801,2020,1,2,1,Downtown,552419.0
4454,2,1997,2146,2140,4,1,2,Suburb_A,372287.0
13837,2,1977,1482,3492,2,1,2,Downtown,614754.0
16039,6,1990,1546,1792,2,1,2,Downtown,459393.0
12965,9,1996,1620,2316,5,3,1,Downtown,572423.0
11762,1,1967,2452,3013,3,3,2,Rural,347336.0
7056,9,2020,684,1801,3,2,1,Downtown,427520.0
16948,9,1962,1471,1254,2,1,3,Suburb_B,304064.0
10110,9,1962,1599,1985,5,2,2,Uptown,511989.0
15773,5,1980,2305,1359,5,2,3,Downtown,462836.0
19412,9,1951,2168,3286,1,1,0,Downtown,698771.0
